run,n_files,type,first_sub_file,last_sub_file,missing_files,nb_event,tstart,tstop,len_s,rate
1157,1800,cosmics,1_a,450_d,0,,,,,
1158,148,cosmics,1_a,37_d,0,,,,,
1159,140,cosmics,1_a,35_d,0,,,,,
1160,108,cosmics,1_a,27_d,0,,,,,
1161,840,cosmics,1_a,210_d,0,,,,,
1167,300,cosmics,1_a,75_d,0,,,,,
1168,251,cosmics,1_a,63_c,0,,,,,
1169,336,cosmics,1_a,84_d,0,,,,,
1170,52,cosmics,1_a,13_d,0,,,,,
1171,460,cosmics,1_a,115_d,0,,,,,
1172,420,cosmics,1_a,105_d,0,,,,,
1173,440,cosmics,1_a,110_d,0,,,,,
1184,48,cosmics,1_a,12_d,0,,,,,
1185,164,cosmics,1_a,41_d,0,,,,,
1186,132,cosmics,1_a,33_d,0,,,,,
1187,176,cosmics,1_a,44_d,0,,,,,
1209,1336,cosmics,1_a,334_d,0,,,,,
1210,1096,cosmics,1_a,274_d,0,,,,,
1211,36,cosmics,1_a,9_d,0,,,,,
1212,766,cosmics,1_a,192_d,2,,,,,
1213,412,cosmics,1_a,103_d,0,,,,,
1214,2132,cosmics,1_a,533_d,0,,,,,
1215,284,cosmics,1_a,71_d,0,,,,,
1216,240,cosmics,1_a,60_d,0,,,,,
1217,108,cosmics,1_a,27_d,0,,,,,
1218,340,cosmics,1_a,85_d,0,,,,,
1219,184,cosmics,1_a,46_d,0,,,,,
1250,140,cosmics,1_a,35_d,0,,,,,
1251,1192,cosmics,1_a,298_d,0,,,,,
1252,24,cosmics,1_a,6_d,0,,,,,
1254,68,cosmics,1_a,17_d,0,,,,,
1255,1072,cosmics,1_a,268_d,0,,,,,
1256,668,cosmics,1_a,167_d,0,,,,,
1262,1116,cosmics,1_a,279_d,0,,,,,
1263,616,cosmics,1_a,154_d,0,,,,,
1264,204,cosmics,1_a,51_d,0,,,,,
1265,1696,cosmics,1_a,424_d,0,,,,,
1267,152,cosmics,1_a,38_d,0,4505.0,1570117084.08,1570117535.33,451.254,10.0
1268,6,cosmics,1_a,2_b,0,,,,,
1269,956,cosmics,1_a,239_d,0,,,,,
1270,8,cosmics,1_a,2_d,0,,,,,
1271,288,cosmics,1_a,72_d,0,,,,,
1272,212,cosmics,1_a,53_d,0,,,,,
1273,120,cosmics,1_a,30_d,0,,,,,
1275,176,cosmics,1_a,44_d,0,,,,,
1276,320,cosmics,1_a,80_d,0,,,,,
1294,980,cosmics,1_a,245_d,0,,,,,
1323,384,cosmics,1_a,96_d,0,11464.0,1574347905.61,1574349053.5,1147.886,10.0
1327,400,cosmics,1_a,100_d,0,,,,,
1331,404,cosmics,1_a,101_d,0,,,,,
1337,404,cosmics,1_a,101_d,0,,,,,
1387,144,cosmics,1_a,36_d,0,4258.0,1578935892.6,1578936318.9,426.3,10.0
1388,244,cosmics,1_a,61_d,0,,,,,
1392,400,cosmics,1_a,100_d,0,,,,,
1401,816,cosmics,1_a,204_d,0,,,,,
1405,604,cosmics,1_a,151_d,0,,,,,
1407,852,cosmics,1_a,213_d,0,,,,,
1409,4,cosmics,1_a,1_d,0,,,,,
1410,399,cosmics,1_a,100_d,1,,,,,
1411,396,cosmics,1_a,99_d,0,,,,,
1413,404,cosmics,1_a,101_d,0,,,,,
1415,164,cosmics,1_a,41_d,0,4824.0,1579023304.1,1579023786.4,482.3,10.0
